,city,suburb,latitude,longitude,property_type,room_type,bedrooms,beds,price,minimum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,cancellation_policy,calculated_host_listings_count,reviews_per_month,count
6500,Yarra,FITZROY,-37.80119503,144.9766927,Apartment,Entire home/apt,1,1,136,2,0,0,0,17,96,moderate,3,0.35,379
6501,Yarra,FITZROY,-37.7994535,144.9837361,Loft,Private room,2,4,75,2,8,20,40,141,94,moderate,2,2.92,379
6502,Yarra,FITZROY,-37.80000516,144.9833922,Loft,Entire home/apt,1,4,125,2,7,22,28,77,93,strict_14_with_grace_period,2,1.67,379
6503,Yarra,FITZROY,-37.79792377,144.9768825,Apartment,Private room,1,1,80,2,0,0,0,18,92,moderate,1,0.39,379
6504,Yarra,FITZROY,-37.80626622,144.9824328,House,Private room,1,1,22,4,0,0,0,34,92,strict_14_with_grace_period,2,0.73,379
6505,Yarra,FITZROY,-37.80108628,144.9797105,House,Entire home/apt,2,3,180,7,0,0,0,7,91,moderate,1,0.15,379
6506,Yarra,FITZROY,-37.79918057,144.9767925,House,Entire home/apt,2,3,239,3,11,23,23,177,100,moderate,3,3.75,379
6507,Yarra,FITZROY,-37.80256973,144.980974,Townhouse,Entire home/apt,2,3,239,4,3,13,23,131,96,moderate,1,2.82,379
6508,Yarra,FITZROY,-37.79811018,144.9838205,Loft,Entire home/apt,3,3,375,1,12,40,68,130,96,moderate,1,2.82,379
6509,Yarra,FITZROY,-37.79646797,144.9784543,Townhouse,Entire home/apt,2,2,199,2,8,31,61,122,97,moderate,1,3.31,379
6510,Yarra,FITZROY,-37.79772305,144.9829396,Apartment,Private room,1,1,120,1,0,0,0,0,,flexible,1,,379
6511,Yarra,FITZROY,-37.80251531,144.9815992,Apartment,Entire home/apt,1,2,165,2,10,25,40,242,99,strict_14_with_grace_period,2,5.41,379
6512,Yarra,FITZROY,-37.8056472,144.9812337,Apartment,Entire home/apt,1,1,100,7,2,2,2,43,98,flexible,1,0.99,379
6513,Yarra,FITZROY,-37.79648951,144.9815872,Apartment,Entire home/apt,2,2,120,3,3,19,49,40,93,strict_14_with_grace_period,1,3.45,379
6514,Yarra,FITZROY,-37.79586904,144.9820837,House,Entire home/apt,3,3,595,4,0,4,4,34,99,strict_14_with_grace_period,3,0.81,379
6515,Yarra,FITZROY,-37.8069108,144.9790499,Apartment,Entire home/apt,1,1,161,14,0,0,0,20,98,strict_14_with_grace_period,3,0.45,379
6516,Yarra,FITZROY,-37.79874026,144.9800098,Barn,Entire home/apt,1,1,150,5,0,0,0,2,100,moderate,1,0.05,379
6517,Yarra,FITZROY,-37.79393612,144.97701,House,Entire home/apt,2,2,147,2,0,0,0,13,95,moderate,1,0.3,379
6518,Yarra,FITZROY,-37.79628924,144.9773904,Guest suite,Entire home/apt,1,1,140,1,21,46,73,238,96,moderate,1,5.55,379
6519,Yarra,FITZROY,-37.79791862,144.9824605,Apartment,Entire home/apt,1,1,195,2,7,14,21,119,97,moderate,1,2.79,379
6520,Yarra,FITZROY,-37.80317262,144.9765891,Apartment,Private room,2,1,60,2,28,58,88,93,99,strict_14_with_grace_period,3,2.21,379
6521,Yarra,FITZROY,-37.79524713,144.9764528,Townhouse,Private room,1,1,71,1,5,9,9,14,93,flexible,1,0.33,379
6522,Yarra,FITZROY,-37.79809875,144.9780755,House,Private room,1,1,65,1,0,0,0,0,,flexible,1,,379
6523,Yarra,FITZROY,-37.79830626,144.9767795,House,Private room,1,1,90,1,0,0,0,0,,flexible,1,,379
6524,Yarra,FITZROY,-37.80263486,144.9824523,House,Entire home/apt,2,4,305,2,2,2,26,45,99,moderate,1,1.32,379
6525,Yarra,FITZROY,-37.79989658,144.9790822,House,Private room,1,1,60,14,0,0,0,0,,flexible,1,,379
6526,Yarra,FITZROY,-37.80626407,144.9802035,Apartment,Entire home/apt,1,1,100,1,28,55,85,65,88,strict_14_with_grace_period,1,1.54,379
6527,Yarra,FITZROY,-37.79917096,144.9764032,House,Private room,1,2,174,1,0,0,0,0,,flexible,1,,379
6528,Yarra,FITZROY,-37.79754928,144.9812326,Apartment,Entire home/apt,0,1,130,2,4,19,42,73,98,strict_14_with_grace_period,1,2.01,379
6529,Yarra,FITZROY,-37.80772237,144.9820425,Apartment,Entire home/apt,0,1,96,1,14,19,32,211,88,strict_14_with_grace_period,2,5.01,379
6530,Yarra,FITZROY,-37.79578667,144.9806575,Apartment,Entire home/apt,1,1,509,1,0,0,0,5,100,strict_14_with_grace_period,1,0.12,379
6531,Yarra,FITZROY,-37.80349456,144.9751686,House,Entire home/apt,2,2,176,2,0,0,0,9,97,strict_14_with_grace_period,1,0.22,379
6532,Yarra,FITZROY,-37.80554285,144.9819542,House,Private room,1,1,65,4,16,33,33,30,94,strict_14_with_grace_period,2,0.74,379
6533,Yarra,FITZROY,-37.79517096,144.9813541,Bed and breakfast,Private room,1,1,60,1,0,0,0,2,100,flexible,1,0.05,379
6534,Yarra,FITZROY,-37.80366688,144.9745754,Apartment,Entire home/apt,1,1,100,2,1,7,16,290,98,strict_14_with_grace_period,3,7.05,379
6535,Yarra,FITZROY,-37.80422268,144.9795928,Apartment,Entire home/apt,1,1,136,2,22,52,82,163,98,moderate,1,4.44,379
6536,Yarra,FITZROY,-37.8043575,144.9772178,Apartment,Private room,2,1,75,2,0,0,0,15,97,moderate,1,0.39,379
6537,Yarra,FITZROY,-37.79935405,144.9781754,Apartment,Entire home/apt,1,1,109,10,0,0,0,4,90,flexible,1,0.1,379
6538,Yarra,FITZROY,-37.80188507,144.9819207,House,Private room,1,1,43,1,13,13,13,116,97,moderate,1,3.17,379
6539,Yarra,FITZROY,-37.79447084,144.9798195,House,Private room,1,1,71,2,0,0,0,12,96,strict_14_with_grace_period,1,0.31,379
6540,Yarra,FITZROY,-37.79692827,144.9837077,Loft,Entire home/apt,2,3,385,7,0,11,33,4,100,strict_14_with_grace_period,73,0.16,379
6541,Yarra,FITZROY,-37.80698758,144.981299,House,Entire home/apt,3,3,190,14,0,0,0,0,,flexible,1,,379
6542,Yarra,FITZROY,-37.80450633,144.9805483,House,Private room,1,1,71,2,0,6,23,151,97,strict_14_with_grace_period,2,3.92,379
6543,Yarra,FITZROY,-37.8051552,144.9802089,Apartment,Entire home/apt,2,2,109,5,0,0,0,1,100,flexible,1,0.03,379
6544,Yarra,FITZROY,-37.80371565,144.9748494,Apartment,Entire home/apt,1,1,89,2,0,0,0,15,88,strict_14_with_grace_period,90,0.38,379
6545,Yarra,FITZROY,-37.79555437,144.9814694,Loft,Entire home/apt,3,3,349,3,0,0,0,14,97,strict_14_with_grace_period,1,0.37,379
6546,Yarra,FITZROY,-37.79848052,144.978002,Apartment,Private room,1,1,75,2,0,0,0,11,95,strict_14_with_grace_period,1,0.29,379
6547,Yarra,FITZROY,-37.7981911,144.9775942,House,Entire home/apt,2,1,91,2,0,0,0,1,100,flexible,1,0.03,379
6548,Yarra,FITZROY,-37.80308662,144.9830966,Apartment,Entire home/apt,1,1,122,2,0,0,0,15,97,strict_14_with_grace_period,1,0.39,379
6549,Yarra,FITZROY,-37.80819485,144.9804915,Apartment,Entire home/apt,1,2,100,1,0,3,3,2,100,moderate,1,0.21,379
6550,Yarra,FITZROY,-37.79431865,144.982503,Apartment,Entire home/apt,1,2,90,3,0,0,0,5,96,moderate,1,0.13,379
6551,Yarra,FITZROY,-37.80715437,144.9787098,Apartment,Entire home/apt,1,1,100,2,0,0,0,0,,flexible,1,,379
6552,Yarra,FITZROY,-37.80572197,144.9746594,Apartment,Entire home/apt,1,1,129,2,0,0,0,0,,flexible,1,,379
6553,Yarra,FITZROY,-37.79971836,144.9747623,Apartment,Private room,3,1,61,1,0,0,0,1,100,flexible,1,0.05,379
6554,Yarra,FITZROY,-37.7999979,144.9819421,House,Private room,1,1,80,1,25,55,85,21,96,flexible,1,0.57,379
6555,Yarra,FITZROY,-37.79971854,144.9763736,Apartment,Entire home/apt,1,1,145,30,3,3,4,11,100,strict_14_with_grace_period,1,0.33,379
6556,Yarra,FITZROY,-37.79841606,144.9752079,Apartment,Private room,1,1,65,3,0,0,0,2,100,moderate,1,0.06,379
6557,Yarra,FITZROY,-37.80343783,144.9763665,Townhouse,Private room,1,1,100,2,10,40,70,24,95,strict_14_with_grace_period,1,0.64,379
6558,Yarra,FITZROY,-37.80474265,144.9811949,House,Private room,1,1,84,1,0,0,0,5,100,flexible,1,0.13,379
6559,Yarra,FITZROY,-37.79611947,144.9825225,Apartment,Private room,1,1,55,2,15,25,29,39,99,moderate,1,1.05,379
6560,Yarra,FITZROY,-37.80193797,144.9749204,House,Entire home/apt,2,1,120,2,0,0,0,1,100,flexible,1,0.03,379
6561,Yarra,FITZROY,-37.80825164,144.9792145,Apartment,Entire home/apt,1,1,89,4,0,0,0,0,,moderate,1,,379
6562,Yarra,FITZROY,-37.80545025,144.9791703,Loft,Entire home/apt,1,1,109,1,4,11,29,261,96,strict_14_with_grace_period,1,7.18,379
6563,Yarra,FITZROY,-37.80227107,144.9779377,Apartment,Entire home/apt,1,2,125,2,0,0,0,5,84,strict_14_with_grace_period,1,0.14,379
6564,Yarra,FITZROY,-37.80036487,144.9816623,House,Shared room,1,1,80,1,0,0,0,2,100,flexible,1,0.05,379
6565,Yarra,FITZROY,-37.80051222,144.9792564,Apartment,Entire home/apt,1,1,168,3,4,7,14,126,99,strict_14_with_grace_period,1,3.68,379
6566,Yarra,FITZROY,-37.79932605,144.9782256,Apartment,Entire home/apt,1,1,116,2,9,9,39,86,99,moderate,1,2.4,379
6567,Yarra,FITZROY,-37.79780046,144.9791495,Townhouse,Entire home/apt,3,0,599,7,14,44,74,12,90,strict_14_with_grace_period,73,0.41,379
6568,Yarra,FITZROY,-37.80769265,144.980554,Bed and breakfast,Private room,1,1,40,1,0,0,0,4,100,flexible,1,0.17,379
6569,Yarra,FITZROY,-37.80196184,144.9821664,Apartment,Private room,1,1,50,1,0,0,0,2,90,flexible,1,0.06,379
6570,Yarra,FITZROY,-37.79380265,144.9807487,Townhouse,Private room,1,1,80,2,17,47,77,149,99,moderate,2,4.18,379
6571,Yarra,FITZROY,-37.79565384,144.9813383,Apartment,Entire home/apt,2,2,180,3,0,0,0,0,,strict_14_with_grace_period,1,,379
6572,Yarra,FITZROY,-37.79531408,144.9820018,Apartment,Entire home/apt,1,1,150,1,8,26,50,59,92,strict_14_with_grace_period,1,1.62,379
6573,Yarra,FITZROY,-37.80587584,144.9752363,Apartment,Entire home/apt,1,2,138,1,6,8,16,160,95,strict_14_with_grace_period,1,4.43,379
6574,Yarra,FITZROY,-37.79689217,144.9803561,Apartment,Entire home/apt,1,1,161,2,12,39,63,140,96,moderate,55,3.89,379
6575,Yarra,FITZROY,-37.79759951,144.9799789,House,Entire home/apt,3,4,199,5,0,15,15,3,100,strict_14_with_grace_period,1,0.09,379
6576,Yarra,FITZROY,-37.79616923,144.9859809,Apartment,Private room,1,1,60,1,0,0,0,2,100,flexible,1,0.06,379
6577,Yarra,FITZROY,-37.80372425,144.9749899,Apartment,Private room,1,1,46,2,0,0,0,4,95,flexible,1,0.11,379
6578,Yarra,FITZROY,-37.7945031,144.9781607,Bed and breakfast,Private room,1,1,90,2,13,42,71,89,99,moderate,1,2.53,379
6579,Yarra,FITZROY,-37.80638626,144.9799201,House,Entire home/apt,3,3,251,5,0,0,0,1,80,flexible,1,0.03,379
6580,Yarra,FITZROY,-37.79606261,144.9828116,Apartment,Entire home/apt,1,1,109,5,0,0,0,10,98,strict_14_with_grace_period,1,0.28,379
6581,Yarra,FITZROY,-37.80061009,144.9828199,House,Private room,1,1,262,2,29,59,89,16,99,strict_14_with_grace_period,1,0.47,379
6582,Yarra,FITZROY,-37.80560657,144.9818098,Apartment,Entire home/apt,1,1,96,2,5,29,54,115,98,moderate,1,3.3,379
6583,Yarra,FITZROY,-37.79687673,144.9773483,Other,Entire home/apt,2,2,230,4,28,58,88,0,,strict_14_with_grace_period,1,,379
6584,Yarra,FITZROY,-37.80113526,144.9794315,Apartment,Entire home/apt,1,1,140,2,2,8,18,80,99,moderate,1,6.35,379
6585,Yarra,FITZROY,-37.80524999,144.9768137,Apartment,Private room,1,1,50,1,0,0,0,2,60,moderate,1,0.09,379
6586,Yarra,FITZROY,-37.79616853,144.9779585,Apartment,Entire home/apt,1,1,105,4,7,9,9,86,98,moderate,1,2.67,379
6587,Yarra,FITZROY,-37.79619614,144.9810074,Loft,Entire home/apt,1,2,186,1,14,23,31,103,97,flexible,1,3.48,379
6588,Yarra,FITZROY,-37.80075024,144.978371,House,Entire home/apt,2,2,190,2,17,25,55,92,99,moderate,2,2.69,379
