,city,suburb,latitude,longitude,property_type,room_type,bedrooms,beds,price,minimum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,cancellation_policy,calculated_host_listings_count,reviews_per_month,count
1758,Melbourne,MELBOURNE,-37.81548763,144.9682514,Apartment,Entire home/apt,2,3,143,3,2,8,18,181,94,moderate,4,4.05,4279
1759,Darebin,MELBOURNE,-37.72267125,144.99588,Townhouse,Entire home/apt,2,2,120,3,10,40,70,0,,flexible,1,,4279
1760,Melbourne,MELBOURNE,-37.81091648,144.9652376,Apartment,Entire home/apt,1,3,120,2,6,30,60,270,91,moderate,4,6.09,4279
1761,Melbourne,MELBOURNE,-37.81008962,144.9561725,Apartment,Entire home/apt,1,2,136,2,1,5,10,78,92,strict_14_with_grace_period,1,1.75,4279
1762,Melbourne,MELBOURNE,-37.77878929,144.9411587,House,Private room,1,1,71,1,5,5,5,224,95,moderate,3,5.12,4279
1763,Melbourne,MELBOURNE,-37.81325391,144.9677873,Apartment,Private room,1,1,90,1,0,0,0,27,98,moderate,1,0.61,4279
1764,Melbourne,MELBOURNE,-37.81107127,144.966851,Apartment,Entire home/apt,2,2,248,2,5,27,57,141,97,moderate,1,3.26,4279
1765,Melbourne,MELBOURNE,-37.81690078,144.9522015,Apartment,Entire home/apt,1,2,140,1,12,24,44,351,97,strict_14_with_grace_period,35,8.01,4279
1766,Melbourne,MELBOURNE,-37.81416706,144.9582053,Apartment,Private room,1,1,100,1,0,0,0,1,80,flexible,1,0.02,4279
1767,Melbourne,MELBOURNE,-37.81225556,144.9689052,Apartment,Entire home/apt,1,1,96,1,0,0,0,13,94,strict_14_with_grace_period,1,0.36,4279
1768,Melbourne,MELBOURNE,-37.81503299,144.9540666,Apartment,Entire home/apt,1,2,114,1,24,52,74,250,91,strict_14_with_grace_period,98,5.73,4279
1769,Melbourne,MELBOURNE,-37.81566617,144.9539301,Apartment,Private room,1,1,48,1,0,0,0,55,95,flexible,1,1.25,4279
1770,Melbourne,MELBOURNE,-37.77779428,144.9417379,House,Private room,1,1,71,1,1,1,1,22,93,moderate,3,0.51,4279
1771,Melbourne,MELBOURNE,-37.81605724,144.9521375,Apartment,Entire home/apt,0,2,104,1,18,39,69,279,91,strict_14_with_grace_period,98,6.34,4279
1772,Melbourne,MELBOURNE,-37.8169957,144.9593027,Apartment,Entire home/apt,2,2,140,1,22,52,67,52,88,strict_14_with_grace_period,90,1.19,4279
1773,Melbourne,MELBOURNE,-37.81821801,144.9646792,Apartment,Entire home/apt,1,1,150,3,0,0,0,4,90,strict_14_with_grace_period,1,0.09,4279
1774,Melbourne,MELBOURNE,-37.81742084,144.9706307,Apartment,Entire home/apt,1,2,150,3,29,53,83,12,98,strict_14_with_grace_period,2,0.29,4279
1775,Port Phillip,MELBOURNE,-37.83545667,144.9714268,Apartment,Private room,1,1,96,4,0,0,0,61,98,strict_14_with_grace_period,1,1.4,4279
1776,Melbourne,MELBOURNE,-37.81147287,144.9691629,Apartment,Entire home/apt,1,2,122,5,0,11,16,45,97,flexible,4,1.08,4279
